id,x,y,z,timestamp
203,0.49,0.12,-0.24,2025-09-26T18:29:34.714534
204,0.55,0.12,-0.24,2025-09-26T18:29:35.019414
205,0.55,0.12,-0.24,2025-09-26T18:29:35.024245
206,0.49,0.12,-0.24,2025-09-26T18:29:35.324388
207,0.55,0.06,-0.24,2025-09-26T18:29:35.655182
208,0.55,0.12,-0.24,2025-09-26T18:29:35.657798
209,0.49,0.12,-0.24,2025-09-26T18:29:36.117408
210,0.55,0.06,-0.24,2025-09-26T18:29:36.121091
211,0.55,0.12,-0.24,2025-09-26T18:29:36.417328
212,0.55,0.12,-0.24,2025-09-26T18:29:36.672644
213,0.55,0.12,-0.24,2025-09-26T18:29:36.674498
214,0.55,0.06,-0.24,2025-09-26T18:29:37.066333
215,0.55,0.12,-0.24,2025-09-26T18:29:37.069579
216,0.55,0.06,-0.24,2025-09-26T18:29:37.372928
217,0.55,0.12,-0.24,2025-09-26T18:29:37.684525
218,0.55,0.12,-0.24,2025-09-26T18:29:37.689585
219,0.55,0.06,-0.24,2025-09-26T18:29:37.987255
220,0.55,0.12,-0.24,2025-09-26T18:29:38.294880
221,0.55,0.12,-0.24,2025-09-26T18:29:38.298335
222,0.55,0.12,-0.24,2025-09-26T18:29:38.605989
223,0.55,0.06,-0.24,2025-09-26T18:29:38.911597
224,0.55,0.06,-0.24,2025-09-26T18:29:38.915403
225,0.55,0.06,-0.24,2025-09-26T18:29:39.218673
226,0.55,0.06,-0.24,2025-09-26T18:29:39.526251
227,0.55,0.06,-0.24,2025-09-26T18:29:39.528611
228,0.49,0.12,-0.24,2025-09-26T18:29:39.925200
229,0.55,0.06,-0.24,2025-09-26T18:29:39.928992
230,0.55,0.12,-0.18,2025-09-26T18:29:40.261401
231,0.55,0.12,-0.18,2025-09-26T18:29:40.524313
232,0.49,0.12,-0.24,2025-09-26T18:29:40.527199
233,0.55,0.06,-0.24,2025-09-26T18:29:41.020082
234,0.49,0.12,-0.24,2025-09-26T18:29:41.025863
235,0.55,0.12,-0.24,2025-09-26T18:29:41.370025
236,0.55,0.12,-0.24,2025-09-26T18:29:41.377139
237,0.55,0.06,-0.24,2025-09-26T18:29:41.726672
