x,y,z,timestamp
0.49,0.12,-0.24,2025-09-26 16:57:40.393
0.55,0.06,-0.24,2025-09-26 16:57:40.429
0.55,0.12,-0.24,2025-09-26 16:57:40.845
0.55,0.12,-0.24,2025-09-26 16:57:40.870
0.55,0.12,-0.24,2025-09-26 16:57:41.179
0.55,0.12,-0.24,2025-09-26 16:57:41.500
0.55,0.06,-0.24,2025-09-26 16:57:41.527
0.49,0.12,-0.18,2025-09-26 16:57:41.889
0.55,0.12,-0.24,2025-09-26 16:57:41.943
0.55,0.12,-0.24,2025-09-26 16:57:42.165
0.49,0.12,-0.24,2025-09-26 16:57:42.467
0.55,0.12,-0.24,2025-09-26 16:57:42.496
0.55,0.12,-0.18,2025-09-26 16:57:42.826
0.55,0.06,-0.24,2025-09-26 16:57:43.181
0.55,0.06,-0.24,2025-09-26 16:57:43.282
0.55,0.12,-0.24,2025-09-26 16:57:43.504
0.55,0.12,-0.24,2025-09-26 16:57:43.535
0.55,0.06,-0.18,2025-09-26 16:57:43.858
0.55,0.12,-0.24,2025-09-26 16:57:44.129
0.55,0.06,-0.24,2025-09-26 16:57:44.155
0.55,0.12,-0.24,2025-09-26 16:57:44.464
0.55,0.12,-0.24,2025-09-26 16:57:44.858
0.49,0.12,-0.24,2025-09-26 16:57:44.889
0.49,0.06,-0.24,2025-09-26 16:57:45.139
0.55,0.06,-0.24,2025-09-26 16:57:45.165
0.55,0.12,-0.18,2025-09-26 16:57:45.575
0.43,0.12,-0.24,2025-09-26 16:57:45.742
0.55,0.12,-0.24,2025-09-26 16:57:45.768
0.55,0.12,-0.24,2025-09-26 16:57:46.107
0.55,0.06,-0.24,2025-09-26 16:57:46.409
0.61,0.12,-0.24,2025-09-26 16:57:46.439
0.55,0.06,-0.24,2025-09-26 16:57:46.663
0.55,0.06,-0.24,2025-09-26 16:57:47.031
0.55,0.12,-0.24,2025-09-26 16:57:47.184
0.49,0.12,-0.24,2025-09-26 16:57:47.279
0.55,0.12,-0.24,2025-09-26 16:57:47.587
0.55,0.12,-0.24,2025-09-26 16:57:47.611
0.49,0.12,-0.18,2025-09-26 16:57:47.893
0.55,0.06,-0.24,2025-09-26 16:57:48.200
0.55,0.06,-0.24,2025-09-26 16:57:48.227
0.49,0.12,-0.24,2025-09-26 16:57:48.688
0.55,0.06,-0.24,2025-09-26 16:57:48.708
0.55,0.12,-0.24,2025-09-26 16:57:48.938
0.55,0.12,-0.24,2025-09-26 16:57:49.225
0.55,0.12,-0.24,2025-09-26 16:57:49.252
0.55,0.12,-0.24,2025-09-26 16:57:49.581
0.55,0.12,-0.24,2025-09-26 16:57:49.840
0.55,0.06,-0.24,2025-09-26 16:57:49.869
0.55,0.06,-0.24,2025-09-26 16:57:50.196
0.55,0.12,-0.24,2025-09-26 16:57:50.504
0.55,0.06,-0.18,2025-09-26 16:57:50.540
0.55,0.12,-0.24,2025-09-26 16:57:50.760
0.55,0.12,-0.24,2025-09-26 16:57:51.119
0.55,0.12,-0.24,2025-09-26 16:57:51.148
0.55,0.06,-0.24,2025-09-26 16:57:51.375
0.55,0.12,-0.24,2025-09-26 16:57:51.684
0.55,0.06,-0.24,2025-09-26 16:57:51.709
0.55,0.12,-0.24,2025-09-26 16:57:52.041
0.55,0.06,-0.24,2025-09-26 16:57:52.299
0.55,0.12,-0.24,2025-09-26 16:57:52.324
0.49,0.12,-0.24,2025-09-26 16:57:52.602
0.55,0.12,-0.24,2025-09-26 16:57:52.962
0.55,0.12,-0.24,2025-09-26 16:57:53.017
0.49,0.12,-0.24,2025-09-26 16:57:53.221
0.55,0.12,-0.24,2025-09-26 16:57:53.526
0.55,0.06,-0.24,2025-09-26 16:57:53.551
0.55,0.12,-0.24,2025-09-26 16:57:53.832
0.49,0.06,-0.24,2025-09-26 16:57:54.177
0.55,0.12,-0.24,2025-09-26 16:57:54.209
0.55,0.06,-0.24,2025-09-26 16:57:54.449
0.49,0.06,-0.18,2025-09-26 16:57:54.912
0.49,0.12,-0.24,2025-09-26 16:57:54.937
0.55,0.12,-0.24,2025-09-26 16:57:55.358
0.55,0.12,-0.18,2025-09-26 16:57:55.386
0.55,0.12,-0.24,2025-09-26 16:57:55.423
0.55,0.12,-0.24,2025-09-26 16:57:55.698
0.49,0.06,-0.24,2025-09-26 16:57:55.985
0.55,0.12,-0.24,2025-09-26 16:57:56.015
0.55,0.12,-0.24,2025-09-26 16:57:56.288
0.49,0.12,-0.24,2025-09-26 16:57:56.597
0.55,0.12,-0.24,2025-09-26 16:57:56.624
0.55,0.12,-0.24,2025-09-26 16:57:56.903
0.55,0.12,-0.24,2025-09-26 16:57:57.210
0.55,0.06,-0.24,2025-09-26 16:57:57.243
0.55,0.12,-0.24,2025-09-26 16:57:57.583
0.49,0.12,-0.24,2025-09-26 16:57:57.883
0.55,0.12,-0.24,2025-09-26 16:57:57.910
0.55,0.12,-0.24,2025-09-26 16:57:58.132
0.55,0.12,-0.24,2025-09-26 16:57:58.454
0.55,0.06,-0.24,2025-09-26 16:57:58.500
0.55,0.12,-0.24,2025-09-26 16:57:58.800
0.61,0.06,-0.24,2025-09-26 16:57:59.106
0.55,0.12,-0.24,2025-09-26 16:57:59.130
0.55,0.12,-0.24,2025-09-26 16:57:59.365
0.55,0.12,-0.24,2025-09-26 16:57:59.721
0.61,0.06,-0.24,2025-09-26 16:57:59.750
0.49,0.06,-0.24,2025-09-26 16:58:00.129
0.49,0.12,-0.24,2025-09-26 16:58:00.285
0.49,0.06,-0.18,2025-09-26 16:58:00.310
0.49,0.12,-0.24,2025-09-26 16:58:00.644
0.55,0.06,-0.24,2025-09-26 16:58:00.949
0.55,0.12,-0.24,2025-09-26 16:58:00.993
0.55,0.06,-0.24,2025-09-26 16:58:01.206
0.55,0.06,-0.24,2025-09-26 16:58:01.232
0.55,0.06,-0.24,2025-09-26 16:58:01.537
0.55,0.12,-0.18,2025-09-26 16:58:01.873
0.49,0.12,-0.24,2025-09-26 16:58:01.900
0.55,0.12,-0.24,2025-09-26 16:58:02.131
0.55,0.06,-0.24,2025-09-26 16:58:02.485
0.49,0.12,-0.24,2025-09-26 16:58:02.518
0.55,0.12,-0.24,2025-09-26 16:58:02.743
0.55,0.06,-0.18,2025-09-26 16:58:03.047
0.55,0.06,-0.18,2025-09-26 16:58:03.074
0.55,0.12,-0.24,2025-09-26 16:58:03.358
0.55,0.12,-0.24,2025-09-26 16:58:03.662
0.55,0.12,-0.18,2025-09-26 16:58:03.689
0.55,0.06,-0.24,2025-09-26 16:58:03.987
0.49,0.12,-0.24,2025-09-26 16:58:04.276
0.55,0.06,-0.24,2025-09-26 16:58:04.306
0.55,0.06,-0.24,2025-09-26 16:58:04.635
0.61,0.12,-0.24,2025-09-26 16:58:05.021
0.55,0.12,-0.24,2025-09-26 16:58:05.044
0.49,0.12,-0.18,2025-09-26 16:58:05.200
0.55,0.06,-0.24,2025-09-26 16:58:05.557
0.55,0.12,-0.24,2025-09-26 16:58:05.583
0.55,0.06,-0.24,2025-09-26 16:58:05.812
0.55,0.12,-0.24,2025-09-26 16:58:06.124
0.55,0.12,-0.24,2025-09-26 16:58:06.153
0.55,0.12,-0.24,2025-09-26 16:58:06.486
0.55,0.12,-0.24,2025-09-26 16:58:06.790
0.55,0.12,-0.24,2025-09-26 16:58:06.818
0.55,0.06,-0.24,2025-09-26 16:58:07.046
0.55,0.12,-0.24,2025-09-26 16:58:07.400
0.55,0.12,-0.24,2025-09-26 16:58:07.429
0.55,0.12,-0.24,2025-09-26 16:58:07.657
0.55,0.12,-0.24,2025-09-26 16:58:07.981
0.55,0.06,-0.24,2025-09-26 16:58:08.012
0.55,0.12,-0.18,2025-09-26 16:58:08.272
0.55,0.12,-0.24,2025-09-26 16:58:08.579
0.55,0.06,-0.24,2025-09-26 16:58:08.604
0.55,0.06,-0.24,2025-09-26 16:58:08.938
0.55,0.06,-0.24,2025-09-26 16:58:09.266
0.49,0.12,-0.18,2025-09-26 16:58:09.297
0.55,0.06,-0.24,2025-09-26 16:58:09.509
0.55,0.06,-0.18,2025-09-26 16:58:09.900
0.55,0.12,-0.24,2025-09-26 16:58:09.929
0.49,0.12,-0.24,2025-09-26 16:58:10.309
0.55,0.12,-0.24,2025-09-26 16:58:10.336
0.55,0.06,-0.24,2025-09-26 16:58:10.643
0.55,0.12,-0.18,2025-09-26 16:58:10.664
0.55,0.12,-0.24,2025-09-26 16:58:10.986
0.55,0.12,-0.24,2025-09-26 16:58:11.240
0.55,0.12,-0.24,2025-09-26 16:58:11.271
0.55,0.12,-0.24,2025-09-26 16:58:11.598
0.49,0.06,-0.24,2025-09-26 16:58:11.905
0.61,0.12,-0.24,2025-09-26 16:58:11.930
0.49,0.12,-0.24,2025-09-26 16:58:12.162
0.55,0.12,-0.18,2025-09-26 16:58:12.472
0.55,0.12,-0.18,2025-09-26 16:58:12.512
0.49,0.12,-0.24,2025-09-26 16:58:12.828
0.55,0.06,-0.24,2025-09-26 16:58:13.083
0.49,0.12,-0.18,2025-09-26 16:58:13.114
0.55,0.12,-0.18,2025-09-26 16:58:13.393
0.55,0.12,-0.24,2025-09-26 16:58:13.766
0.49,0.06,-0.31,2025-09-26 16:58:13.792
0.55,0.12,-0.24,2025-09-26 16:58:14.028
0.55,0.06,-0.24,2025-09-26 16:58:14.364
0.55,0.12,-0.24,2025-09-26 16:58:14.396
0.55,0.12,-0.24,2025-09-26 16:58:14.639
0.49,0.12,-0.24,2025-09-26 16:58:14.937
0.55,0.12,-0.24,2025-09-26 16:58:15.040
0.55,0.06,-0.18,2025-09-26 16:58:15.248
0.55,0.12,-0.24,2025-09-26 16:58:15.638
0.49,0.12,-0.24,2025-09-26 16:58:15.687
