timestamp,temperature,humidity
2025-09-20 16:51:03,20.20,40.80
2025-09-20 16:51:05,20.20,40.80
2025-09-20 16:51:07,20.20,40.80
2025-09-20 16:51:10,20.20,40.90
2025-09-20 16:51:12,20.20,40.80
2025-09-20 16:51:14,20.20,40.70
2025-09-20 16:51:16,20.20,40.70
2025-09-20 16:51:18,20.20,40.70
2025-09-20 16:51:20,20.20,40.80
2025-09-20 16:51:22,20.20,40.80
2025-09-20 16:51:24,20.20,40.80
2025-09-20 16:51:26,20.20,40.90
2025-09-20 16:51:28,20.20,40.90
2025-09-20 16:51:30,20.20,40.80
2025-09-20 16:51:32,20.20,40.70
2025-09-20 16:51:34,20.20,40.60
2025-09-20 16:51:37,20.20,40.60
2025-09-20 16:51:39,20.10,40.50
2025-09-20 16:51:41,20.10,40.60
2025-09-20 16:51:43,20.20,40.60
2025-09-20 16:51:45,20.10,40.70
2025-09-20 16:51:47,20.20,40.80
2025-09-20 16:51:49,20.10,40.80
2025-09-20 16:51:51,20.10,40.80
2025-09-20 16:51:53,20.10,40.80
2025-09-20 16:51:55,20.10,40.70
2025-09-20 16:51:57,20.10,40.70
2025-09-20 16:51:59,20.10,40.80
2025-09-20 16:52:01,20.10,40.80
2025-09-20 16:52:04,20.10,40.80
2025-09-20 16:52:06,20.10,40.90
2025-09-20 16:52:08,20.10,40.90
2025-09-20 16:52:10,20.10,40.90
2025-09-20 16:52:12,20.10,40.90
2025-09-20 16:52:14,20.10,40.80
2025-09-20 16:52:16,20.10,40.90
2025-09-20 16:52:18,20.10,40.90
2025-09-20 16:52:20,20.10,40.90
2025-09-20 16:52:22,20.10,40.80
2025-09-20 16:52:24,20.10,41.10
2025-09-20 16:52:26,20.10,41.30
2025-09-20 16:52:28,20.10,41.40
2025-09-20 16:52:31,20.10,41.60
2025-09-20 16:52:33,20.10,41.70
2025-09-20 16:52:35,20.10,41.70
2025-09-20 16:52:37,20.10,41.60
2025-09-20 16:52:39,20.00,41.70
2025-09-20 16:52:41,20.00,41.80
2025-09-20 16:52:43,20.00,41.90
2025-09-20 16:52:45,20.00,41.90
2025-09-20 16:52:47,20.00,41.90
2025-09-20 16:52:49,20.00,41.90
2025-09-20 16:52:51,20.00,41.90
2025-09-20 16:52:53,20.00,41.90
2025-09-20 16:52:55,20.00,41.90
2025-09-20 16:52:58,20.00,41.90
2025-09-20 16:53:00,20.00,41.80
2025-09-20 16:53:02,20.00,41.80
2025-09-20 16:53:04,20.00,41.70
2025-09-20 16:53:06,20.00,41.60
2025-09-20 16:53:08,20.00,41.70
